CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
15634602,698,France,Male,31,3,10114.04,2,1,1,95137.03,0
15634603,636,France,Male,32,0,0.0,2,1,1,73383.98,0
15634604,712,France,Male,47,4,131903.29,1,0,0,144502.51,0
15634605,797,France,Male,43,6,0.0,2,1,1,68594.09,1
15634606,627,Germany,Female,47,2,0.0,1,1,0,27269.43,0
15634607,627,France,Female,51,5,51093.73,1,1,0,119469.54,1
15634608,803,France,Male,34,2,0.0,2,1,1,55624.68,0
15634609,724,Spain,Male,26,3,0.0,2,1,0,7764.05,0
15634610,604,France,Female,26,4,159442.25,1,1,1,9045.86,0
15634611,702,Spain,Male,19,5,130660.45,1,0,0,97598.85,0
15634612,605,Germany,Female,33,5,105269.11,1,1,0,193635.74,1
15634613,604,France,Male,34,0,116203.51,1,1,0,15577.78,0
15634614,673,Germany,Female,45,7,119186.93,2,1,0,66269.3,0
15634615,464,Germany,Female,38,2,194784.96,2,1,0,7863.97,0
15634616,482,France,Male,33,3,8405.12,2,0,0,126268.63,0
15634617,595,France,Male,36,7,21804.97,3,1,0,115693.18,0
15634618,551,Germany,Female,27,4,106901.59,2,1,0,56685.8,1
15634619,680,Spain,Male,48,5,0.0,2,1,0,151963.49,0
15634620,561,Germany,Male,30,0,0.0,2,1,0,5837.37,1
15634621,513,France,Female,26,7,128180.23,1,1,0,25149.93,0
15634622,792,Germany,Male,46,4,0.0,1,0,0,11639.72,0
15634623,628,France,Male,43,0,0.0,2,1,0,67620.23,0
15634624,656,Germany,Female,20,6,0.0,2,0,0,101055.85,0
15634625,511,Germany,Female,46,1,0.0,2,1,1,57957.39,0
15634626,597,Germany,Female,30,5,0.0,2,1,0,62972.6,0
15634627,660,Spain,Male,34,2,201331.85,2,0,1,114766.29,0
15634628,538,Germany,Female,39,5,79066.47,2,1,0,48219.6,0
15634629,686,Germany,Male,43,8,190385.99,2,0,0,55494.21,0
15634630,591,France,Male,42,5,0.0,1,1,0,180282.77,0
15634631,621,Spain,Male,37,0,21351.67,1,1,1,145493.54,0
15634632,591,Spain,Male,33,5,0.0,2,1,0,100969.96,0
15634633,829,France,Female,42,2,0.0,2,1,1,140775.83,0
15634634,648,France,Male,36,3,44940.36,1,1,0,88276.08,0
15634635,547,France,Male,56,3,113100.6,2,1,1,182445.32,0
15634636,729,Spain,Male,43,8,0.0,1,0,0,35304.75,0
15634637,531,Germany,Female,28,7,83828.11,2,1,0,34200.46,0
15634638,670,France,Female,33,6,0.0,2,1,1,11897.88,0
15634639,459,Spain,Female,38,4,0.0,1,1,1,36010.13,1
15634640,521,France,Male,50,9,21664.05,1,1,0,44098.84,0
15634641,669,Spain,Male,52,10,113771.58,2,1,0,172117.18,1
15634642,721,France,Female,34,3,129381.04,1,1,1,101702.87,0
15634643,666,France,Female,28,2,0.0,1,0,0,41178.76,0
15634644,638,France,Male,27,0,0.0,2,1,1,170331.79,1
15634645,620,France,Female,40,8,119153.72,1,1,1,15219.47,0
15634646,506,Germany,Male,61,7,0.0,2,0,0,56810.37,0
15634647,580,Germany,Female,43,0,106568.72,1,1,0,187703.85,1
15634648,605,France,Male,22,1,145848.42,2,0,1,193680.61,0
15634649,752,France,Male,30,0,8564.4,2,0,1,74076.73,0
15634650,683,France,Male,31,0,22485.81,2,1,1,160942.4,0
15634651,478,Germany,Female,29,8,189923.2,2,1,0,31187.7,0
15634652,681,Germany,Female,34,4,0.0,2,1,1,178214.45,1
15634653,612,France,Male,41,2,0.0,2,1,0,158493.75,0
15634654,584,Germany,Female,44,1,78139.64,2,1,1,131702.29,0
15634655,709,France,Male,48,7,75814.1,1,1,0,167539.59,1
15634656,750,Spain,Female,43,7,0.0,1,1,0,112498.87,1
15634657,740,Spain,Female,18,5,180364.72,2,1,0,66482.63,0
15634658,568,Germany,Male,27,1,95371.76,2,1,1,132991.43,0
15634659,620,Spain,Female,36,10,13843.73,1,1,0,132817.66,0
15634660,682,Spain,Female,39,0,0.0,2,0,0,115968.53,0
15634661,744,Spain,Male,46,5,0.0,2,0,0,157449.91,1
15634662,603,Germany,Male,38,0,0.0,1,0,1,10694.67,0
15634663,631,France,Male,38,5,244899.63,1,1,0,127810.03,0
15634664,542,France,Male,40,9,57409.32,2,0,1,115360.46,0
15634665,533,France,Female,35,1,57984.29,2,1,0,44122.5,0
